ID,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
3136,Volkswagen,16500.0,sedan,123,1.8,Petrol,yes,2010,Passat B6
2620,Volkswagen,9900.0,other,181,1.6,Diesel,yes,2012,Caddy
4262,Mercedes-Benz,55000.0,crossover,120,5.5,Petrol,yes,2008,G 55 AMG
4239,Mercedes-Benz,85000.0,sedan,36,5.5,Petrol,yes,2014,CLS 63 AMG
1093,BMW,9500.0,sedan,400,3.5,Gas,yes,1999,735
3664,BMW,15000.0,vagon,245,3.0,Gas,yes,2006,530
3533,Mercedes-Benz,11850.0,van,177,2.2,Diesel,yes,2011,Vito
455,Mercedes-Benz,10250.0,sedan,261,1.8,Petrol,yes,2003,E-Class
2436,Mercedes-Benz,20300.0,sedan,198,1.8,Gas,yes,2011,E-Class
3804,Toyota,27400.0,crossover,52,3.5,Gas,yes,2012,Venza
3975,Volkswagen,12900.0,other,142,2.0,Petrol,yes,2007,Eos
2366,Toyota,8400.0,sedan,195,2.4,Gas,yes,2004,Camry
2298,Volkswagen,9600.0,sedan,106,1.6,Petrol,yes,2011,Polo
3808,Mitsubishi,8900.0,other,150,3.0,Petrol,yes,2000,Eclipse
1862,Renault,6700.0,van,216,1.5,Diesel,yes,2010,Kangoo
2184,Audi,6900.0,sedan,250,2.4,Gas,yes,1999,A6
3809,Renault,7200.0,van,101,1.5,Diesel,yes,2012,Kangoo
1349,Mitsubishi,2600.0,other,200,2.4,Petrol,no,2002,Lancer
1775,Toyota,13850.0,hatch,24,1.6,Other,yes,2010,Auris
4120,BMW,12300.0,sedan,140,2.0,Petrol,yes,2005,318
4195,Audi,21900.0,other,114,3.2,Petrol,yes,2009,A5
2560,Mercedes-Benz,12950.0,sedan,197,2.7,Diesel,yes,2002,E-Class
3955,Mercedes-Benz,6200.0,sedan,221,1.8,Gas,yes,2004,E-Class
1855,BMW,45000.0,sedan,110,,Other,yes,2012,535
298,BMW,7400.0,sedan,285,4.4,Gas,yes,1997,540
741,Mitsubishi,7900.0,other,148,1.8,Petrol,yes,2003,Pajero Pinin
289,Toyota,600.0,sedan,10,1.5,Petrol,yes,1979,Corolla
2517,Renault,7899.0,van,129,1.5,Other,yes,2014,Kangoo
1824,Volkswagen,3000.0,vagon,275,1.9,Diesel,no,2001,Passat B5
2889,Volkswagen,4999.0,van,225,,Other,no,2003,Caravelle
646,Toyota,2800.0,sedan,287,1.3,Petrol,yes,1995,Corolla
1700,Volkswagen,2500.0,hatch,297,1.6,Petrol,yes,1995,Golf III
1275,Mercedes-Benz,10999.0,other,269,2.2,Diesel,yes,2006,Sprinter 313
3575,Mitsubishi,9800.0,sedan,81,2.0,Petrol,yes,2009,Lancer X
2842,Mercedes-Benz,2499.0,sedan,300,3.0,Diesel,no,1999,E-Class
1881,Mercedes-Benz,7600.0,sedan,384,2.8,Petrol,yes,2000,E-Class
3093,Toyota,21999.0,other,65,2.5,Petrol,yes,2012,Camry
3594,BMW,39333.0,sedan,6,2.0,Petrol,yes,2016,520
3192,Volkswagen,17500.0,sedan,76,1.8,Petrol,yes,2012,Passat B7
441,Renault,11900.0,crossover,68,1.5,Diesel,yes,2011,Duster
3311,Volkswagen,9000.0,sedan,51,1.6,Petrol,yes,2013,Polo
1194,Audi,8000.0,vagon,200,2.7,Diesel,yes,2006,A6
1285,Toyota,20000.0,van,135,2.4,Gas,yes,2006,Previa
528,Volkswagen,4300.0,vagon,298,1.8,Petrol,yes,1998,Golf III
1892,Volkswagen,44700.0,van,120,3.5,Petrol,yes,2013,Sharan
1368,Renault,9999.0,van,185,1.5,Diesel,yes,2008,Kangoo
3937,BMW,12200.0,sedan,239,3.0,Diesel,yes,2001,730
4318,BMW,16100.0,crossover,194,3.0,Diesel,yes,2004,X5
2782,Volkswagen,8900.0,van,169,1.9,Diesel,yes,2008,Caddy
872,Volkswagen,12500.0,van,207,1.9,Diesel,yes,2007,Sharan
522,BMW,13000.0,sedan,193,3.6,Petrol,yes,2003,735
2418,BMW,63500.0,crossover,1,2.0,Diesel,yes,2016,X5
3064,Mitsubishi,5700.0,sedan,176,1.6,Petrol,yes,2004,Lancer
573,Renault,7500.0,van,200,2.2,Diesel,yes,2002,Espace
581,Toyota,43999.0,other,0,2.8,Diesel,yes,2016,Hilux
1501,Mitsubishi,4800.0,sedan,247,2.0,Gas,yes,1998,Galant
3756,Mitsubishi,2800.0,other,290,2.0,Petrol,yes,1990,Galant
627,Mitsubishi,4200.0,sedan,270,2.0,Gas,yes,1998,Galant
461,Audi,4600.0,vagon,242,,Diesel,no,2004,A6
3148,Toyota,41900.0,crossover,89,4.5,Diesel,yes,2012,Land Cruiser 200
230,Audi,9700.0,vagon,189,2.5,Diesel,yes,2003,A6
3377,BMW,16999.0,other,90,2.5,Petrol,yes,2008,325
220,Volkswagen,9700.0,sedan,201,2.0,Petrol,yes,2007,Passat B6
3675,Toyota,16500.0,crossover,328,4.2,Diesel,yes,1993,Land Cruiser 80
2510,Mercedes-Benz,8300.0,van,337,2.2,Diesel,yes,2002,Vito
3744,Renault,3450.0,van,196,1.9,Diesel,yes,2001,Kangoo
1829,Volkswagen,2200.0,hatch,33,1.9,Diesel,yes,1985,Golf II
988,Volkswagen,11000.0,vagon,127,1.6,Diesel,yes,2012,Golf VI
1230,Mercedes-Benz,28500.0,other,65,1.8,Petrol,yes,2011,E-Class
555,Toyota,25555.0,crossover,128,4.7,Gas,yes,2004,Land Cruiser 100
3210,Volkswagen,8800.0,van,145,2.0,Gas,yes,2011,Caddy
1652,Audi,30900.0,crossover,27,2.0,Petrol,yes,2011,Q5
1391,Mercedes-Benz,29999.0,hatch,9,,Other,yes,2015,B-Class Electric Drive
2524,Volkswagen,12500.0,other,160,2.5,Other,yes,2006,T5 (Transporter)
3966,Mercedes-Benz,16900.0,van,180,3.0,Diesel,yes,2008,Vito
4104,Volkswagen,4500.0,sedan,230,2.0,Gas,yes,1996,Passat B4
2123,Mercedes-Benz,2990.0,sedan,300,2.8,Gas,yes,1979,S 280
1,BMW,4200.0,sedan,277,2.0,Petrol,yes,1991,320
2369,Toyota,11999.0,sedan,147,2.4,Petrol,yes,2010,Camry
4248,Audi,13300.0,sedan,207,4.2,Petrol,yes,2004,A8
2110,Toyota,10100.0,sedan,142,2.4,Petrol,yes,2007,Camry
1114,BMW,27800.0,sedan,170,2.0,Diesel,yes,2011,520
259,Volkswagen,2500.0,sedan,488,2.0,Petrol,yes,1991,Passat B3
1514,BMW,4500.0,sedan,230,4.0,Gas,yes,1994,540
1669,Mercedes-Benz,19500.0,sedan,180,3.0,Diesel,yes,2008,E-Class
3584,Mercedes-Benz,10900.0,van,191,2.2,Diesel,yes,2007,Vito
2586,Volkswagen,31310.0,van,0,2.0,Diesel,yes,2014,Touran
3146,BMW,13200.0,sedan,150,2.2,Petrol,yes,2004,520
2257,BMW,10999.0,other,162,2.2,Petrol,yes,2002,320
1310,Toyota,24800.0,sedan,43,2.5,Gas,yes,2015,Camry
2928,Mitsubishi,8500.0,crossover,320,3.0,Gas,yes,2000,Pajero Sport
4243,Mercedes-Benz,31500.0,van,95,2.2,Diesel,yes,2013,Vito
3116,Mitsubishi,22500.0,other,57,2.5,Other,yes,2013,L 200
2371,BMW,11500.0,sedan,290,3.0,Diesel,yes,2001,730
1806,Audi,2850.0,sedan,260,,Other,no,1999,A6
293,Renault,6900.0,sedan,68,1.5,Diesel,yes,2013,Logan
992,Volkswagen,19100.0,sedan,4,1.6,Other,yes,2016,Jetta
1939,BMW,37700.0,crossover,108,3.0,Petrol,yes,2011,X3
1121,Audi,6557.0,sedan,327,4.2,Gas,yes,2000,A8
3059,Mitsubishi,13200.0,crossover,79,2.4,Gas,yes,2009,Outlander
3304,Renault,8750.0,vagon,46,1.6,Petrol,yes,2012,Logan
1629,Mitsubishi,11960.0,other,140,2.5,Diesel,yes,2007,L 200
3907,Mitsubishi,1550.0,hatch,1,1.8,Diesel,yes,1990,Galant
1533,Mitsubishi,15200.0,crossover,193,3.0,Gas,yes,2008,Pajero Wagon
166,BMW,8850.0,vagon,280,2.5,Diesel,yes,2000,525
1028,Toyota,28000.0,crossover,95,3.5,Gas,yes,2011,Highlander
1175,Mitsubishi,12200.0,crossover,140,2.4,Petrol,yes,2007,Outlander XL
3510,Volkswagen,18900.0,hatch,56,2.0,Petrol,yes,2012,Golf GTI
1665,Renault,18932.0,hatch,0,1.5,Diesel,yes,2016,Megane
2491,Audi,6399.0,vagon,230,2.5,Diesel,yes,1999,A6
4033,Audi,2500.0,hatch,200,1.6,Petrol,no,1999,A3
1808,Audi,4299.0,sedan,307,2.8,Gas,yes,1991,100
3081,Renault,3600.0,van,199,1.9,Diesel,yes,2000,Kangoo
2791,Audi,2300.0,vagon,25,2.5,Diesel,no,1999,A6
3625,Volkswagen,6900.0,crossover,258,2.5,Diesel,no,2004,Touareg
729,Mitsubishi,19400.0,crossover,78,2.4,Petrol,yes,2012,Outlander XL
1602,Audi,3800.0,sedan,257,2.0,Petrol,yes,1993,80
669,Volkswagen,24000.0,sedan,67,1.8,Petrol,yes,2012,Passat CC
1491,Renault,15200.0,other,173,2.3,Diesel,yes,2013,Master
968,Mercedes-Benz,105000.0,crossover,1,3.0,Diesel,yes,2016,GLS 350
1282,Toyota,13200.0,sedan,38,1.33,Petrol,yes,2014,Corolla
3402,BMW,1900.0,sedan,200,1.8,Gas,no,1994,318
2682,Volkswagen,4000.0,hatch,105,2.0,Other,yes,2013,Golf VII
258,Volkswagen,20800.0,other,160,2.0,Diesel,yes,2012,Amarok
962,BMW,33500.0,sedan,65,2.0,Petrol,yes,2013,520
3811,Toyota,11700.0,crossover,126,2.4,Gas,yes,2008,Rav 4
4292,Mercedes-Benz,28950.0,sedan,40,1.8,Petrol,yes,2014,C-Class
1831,Audi,98000.0,other,12,5.2,Petrol,yes,2012,R8
2268,Renault,19692.0,crossover,0,1.5,Diesel,yes,2016,Duster
3290,Volkswagen,10000.0,sedan,90,9.0,Petrol,no,2010,Passat B6
2164,Renault,7245.0,sedan,87,1.4,Petrol,yes,2008,Megane
4144,Audi,4000.0,vagon,300,2.5,Diesel,no,2001,A6
566,Volkswagen,2200.0,sedan,180,1.9,Diesel,no,2003,Passat B5
1569,BMW,32500.0,sedan,134,2.0,Diesel,yes,2010,520
1238,Mercedes-Benz,2600.0,hatch,111,1.4,Petrol,no,1999,A 140
2693,Volkswagen,13900.0,vagon,122,1.4,Gas,yes,2013,Touran
274,Volkswagen,7700.0,van,177,1.9,Diesel,yes,2008,T5 (Transporter) 
1151,BMW,56500.0,crossover,1,2.0,Diesel,yes,2016,X5
2899,Volkswagen,22000.0,crossover,98,2.0,Diesel,yes,2013,Tiguan
966,Volkswagen,17900.0,sedan,192,2.5,Diesel,yes,2007,Multivan
637,Mitsubishi,9450.0,sedan,125,2.0,Gas,yes,2008,Lancer X
1068,Mercedes-Benz,6500.0,sedan,270,2.8,Gas,yes,1999,E-Class
3579,BMW,6500.0,sedan,298,2.5,Petrol,yes,1998,523
231,Renault,10100.0,van,64,2.0,Diesel,yes,2014,Trafic
3463,Mitsubishi,5200.0,van,200,1.6,Petrol,yes,2003,Space Star
505,Mercedes-Benz,9500.0,sedan,246,6.0,Petrol,yes,1997,S 600
2667,BMW,5850.0,sedan,250,4.5,Gas,yes,2001,745
1469,BMW,20999.0,crossover,170,4.8,Petrol,yes,2008,X5
273,BMW,34900.0,crossover,117,3.0,Petrol,yes,2011,X5
3200,Mitsubishi,7300.0,sedan,137,1.6,Gas,yes,2006,Lancer
404,Renault,7300.0,vagon,162,1.5,Diesel,yes,2006,Megane
881,Audi,18300.0,vagon,190,2.0,Diesel,yes,2011,A6
2984,Audi,37000.0,sedan,37,2.8,Petrol,yes,2012,A6
1658,Mercedes-Benz,12700.0,hatch,140,1.7,Gas,yes,2007,B 170
3173,Renault,11900.0,van,143,2.0,Diesel,yes,2009,Trafic
2637,BMW,8900.0,sedan,294,2.2,Gas,yes,2000,520
3372,Mercedes-Benz,8500.0,van,281,2.2,Diesel,yes,2004,Vito
1857,Mitsubishi,8500.0,other,135,1.5,Gas,yes,2008,Lancer X
4075,Audi,4000.0,sedan,320,2.8,Petrol,yes,1992,100
4176,Volkswagen,10500.0,van,246,2.5,Diesel,yes,2006,T5 (Transporter)
2967,BMW,26999.0,crossover,180,4.8,Gas,yes,2008,X5
1142,Toyota,9800.0,sedan,123,,Petrol,yes,2008,Corolla
3235,Mercedes-Benz,103333.0,crossover,0,3.0,Diesel,yes,2016,GLE-Class
2515,Mercedes-Benz,4600.0,van,200,2.2,Diesel,yes,2000,Vito
1350,BMW,2500.0,vagon,250,2.5,Diesel,no,2000,525
529,Audi,3900.0,vagon,260,2.5,Diesel,no,2003,A6
8,Audi,14200.0,vagon,200,2.7,Diesel,yes,2006,A6
3379,Mercedes-Benz,5300.0,van,244,2.2,Diesel,yes,2000,Vito
2252,Mitsubishi,11300.0,crossover,128,2.4,Gas,yes,2008,Outlander
3763,Mercedes-Benz,6200.0,sedan,450,4.2,Gas,yes,1997,S 420
2309,Volkswagen,3300.0,vagon,193,1.9,Diesel,no,2003,Passat B5
3451,Mitsubishi,46000.0,crossover,0,2.4,Diesel,yes,2016,Pajero Sport
4256,BMW,3100.0,vagon,1,2.0,Diesel,no,2002,320
3182,Volkswagen,11350.0,van,190,75.0,Diesel,yes,2011,T5 (Transporter) 
706,Toyota,18800.0,sedan,47,2.4,Petrol,yes,2009,Camry
3821,Mercedes-Benz,30000.0,crossover,97,2.14,Diesel,yes,2011,ML 250
1406,Toyota,13250.0,sedan,96,2.4,Gas,yes,2008,Rav 4
1056,Renault,5950.0,van,135,1.5,Diesel,yes,2012,Kangoo
3206,Renault,10600.0,vagon,220,2.5,Other,yes,2006,Trafic
1467,Audi,3050.0,vagon,250,2.5,Other,no,2001,A6
70,Audi,4300.0,sedan,267,1.9,Diesel,no,2003,A6
2223,Volkswagen,8800.0,other,217,1.9,Diesel,yes,2005,Passat B5
3393,Mercedes-Benz,21500.0,sedan,146,1.8,Gas,yes,2012,E-Class
2004,Renault,6300.0,sedan,167,1.6,Petrol,yes,2005,Megane
3147,Audi,35500.0,crossover,130,3.0,Diesel,yes,2010,Q7
707,Volkswagen,7600.0,hatch,127,1.4,Petrol,yes,2007,Polo
3279,Toyota,13000.0,hatch,42,1.3,Petrol,yes,2013,Auris
811,Mercedes-Benz,34999.0,sedan,150,2.8,Petrol,yes,1969,S 280
2979,Volkswagen,11000.0,vagon,210,1.9,Diesel,yes,2008,Touran
4003,Toyota,25900.0,crossover,97,4.0,Petrol,yes,2009,Land Cruiser Prado
4317,Volkswagen,9750.0,van,159,1.9,Diesel,yes,2009,Caddy
3514,Toyota,33333.0,vagon,73,4.0,Gas,yes,2009,FJ Cruiser
1762,BMW,23500.0,crossover,180,4.8,Petrol,yes,2008,X5
2641,Mercedes-Benz,2100.0,other,350,2.4,Diesel,yes,1988,MB
2378,Mercedes-Benz,8650.0,van,344,2.2,Diesel,yes,2006,Vito
920,Volkswagen,8500.0,sedan,220,2.0,Other,yes,2005,Passat B5
1138,Toyota,13000.0,crossover,149,2.0,Petrol,yes,2006,Rav 4
400,Toyota,11500.0,van,161,2.5,Diesel,yes,2002,Hiace
3144,Renault,17639.0,crossover,0,1.2,Petrol,yes,2016,Captur
1571,Toyota,8200.0,crossover,200,2.0,Gas,yes,2002,Rav 4
2701,Mitsubishi,8700.0,sedan,143,2.0,Gas,yes,2007,Lancer X
34,BMW,28500.0,crossover,160,4.8,Gas,yes,2008,X5
2416,Renault,9100.0,van,166,2.0,Diesel,yes,2012,Trafic
2528,Mitsubishi,8260.0,sedan,65,1.5,Petrol,yes,2011,Lancer
3181,Volkswagen,7500.0,sedan,272,2.8,Gas,yes,2002,Passat B5
635,Mitsubishi,4999.0,sedan,60,1.6,Petrol,yes,2007,Lancer
594,BMW,34900.0,crossover,110,4.4,Petrol,yes,2010,X6
359,Renault,7700.0,vagon,200,1.5,Diesel,yes,2007,Megane
4154,Toyota,61990.0,crossover,68,4.5,Diesel,yes,2012,Land Cruiser 200
2616,Mercedes-Benz,23700.0,sedan,86,1.8,Gas,yes,2013,E-Class
3817,BMW,49000.0,vagon,56,5.0,Petrol,yes,2007,M5
3363,BMW,77500.0,crossover,1,3.0,Petrol,yes,2016,X6
2051,Audi,7200.0,sedan,300,,Gas,yes,1999,A6
2764,Mercedes-Benz,47600.0,van,0,2.2,Diesel,yes,2016,Vito
3374,Toyota,16800.0,crossover,238,4.0,Gas,yes,2004,Land Cruiser Prado
3479,Volkswagen,2600.0,van,10,2.4,Diesel,yes,1988,LT
1397,Volkswagen,1800.0,other,280,1.9,Diesel,no,1997,Passat B5
1183,Mitsubishi,6800.0,sedan,82,2.0,Petrol,yes,2007,Lancer
2327,BMW,8800.0,crossover,284,3.0,Diesel,no,2004,X5
3531,Volkswagen,3000.0,sedan,250,2.8,Gas,no,2002,Passat B5
2120,Audi,3600.0,vagon,250,2.5,Other,yes,1999,A6
2788,Volkswagen,4600.0,other,290,1.9,Diesel,yes,1995,T4 (Transporter) 
3006,BMW,45200.0,crossover,68,3.0,Diesel,yes,2012,X5
1005,Toyota,14700.0,hatch,98,1.6,Gas,yes,2013,Auris
551,Volkswagen,6799.0,hatch,1,1.4,Gas,yes,1998,Golf IV
187,Volkswagen,2350.0,hatch,182,1.9,Diesel,no,1998,Golf IV
440,Audi,10500.0,vagon,198,4.2,Gas,yes,2005,A6 Allroad
1579,Mitsubishi,22900.0,crossover,69,2.4,Petrol,yes,2014,Outlander
